Project Name,CompilationUnit,Fully Qualified Name
AJHotDraw,BoxHandleKit.java,org.jhotdraw.standardBoxHandleKit.java,
AJHotDraw,BoxHandleKit.java,org.jhotdraw.standardBoxHandleKit.java,
AJHotDraw,BoxHandleKit.java,org.jhotdraw.standardBoxHandleKit.java,
AJHotDraw,BoxHandleKit.java,org.jhotdraw.standardBoxHandleKit.java,
AJHotDraw,BoxHandleKit.java,org.jhotdraw.standardBoxHandleKit.java,
AJHotDraw,FigureAndEnumerator.java,org.jhotdraw.standardFigureAndEnumerator.java,
AJHotDraw,CreationTool.java,org.jhotdraw.standardCreationTool.java,
AJHotDraw,DeleteCommand.java,org.jhotdraw.standardDeleteCommand.java,
AJHotDraw,ChangeConnectionStartHandle.java,org.jhotdraw.standardChangeConnectionStartHandle.java,
AJHotDraw,ChangeConnectionStartHandle.java,org.jhotdraw.standardChangeConnectionStartHandle.java,
AJHotDraw,HandleTracker.java,org.jhotdraw.standardHandleTracker.java,
AJHotDraw,AWTCursor.java,org.jhotdraw.standardAWTCursor.java,
AJHotDraw,LocatorHandle.java,org.jhotdraw.standardLocatorHandle.java,
AJHotDraw,AbstractCommand.java,org.jhotdraw.standardAbstractCommand.java,
AJHotDraw,InsertIntoDrawingVisitor.java,org.jhotdraw.standardInsertIntoDrawingVisitor.java,
AJHotDraw,PeripheralLocator.java,org.jhotdraw.standardPeripheralLocator.java,
AJHotDraw,FigureTransferCommand.java,org.jhotdraw.standardFigureTransferCommand.java,
AJHotDraw,ChopBoxConnector.java,org.jhotdraw.standardChopBoxConnector.java,
AJHotDraw,DecoratorFigure.java,org.jhotdraw.standardDecoratorFigure.java,
AJHotDraw,AbstractTool.java,org.jhotdraw.standardAbstractTool.java,
AJHotDraw,AbstractTool.java,org.jhotdraw.standardAbstractTool.java,
AJHotDraw,AbstractHandle.java,org.jhotdraw.standardAbstractHandle.java,
AJHotDraw,SingleFigureEnumerator.java,org.jhotdraw.standardSingleFigureEnumerator.java,
AJHotDraw,AbstractConnector.java,org.jhotdraw.standardAbstractConnector.java,
AJHotDraw,NullPainter.java,org.jhotdraw.standardNullPainter.java,
AJHotDraw,SelectAllCommand.java,org.jhotdraw.standardSelectAllCommand.java,
AJHotDraw,SelectAllCommand.java,org.jhotdraw.standardSelectAllCommand.java,
AJHotDraw,DeleteFromDrawingVisitor.java,org.jhotdraw.standardDeleteFromDrawingVisitor.java,
AJHotDraw,StorageFormatManager.java,org.jhotdraw.utilStorageFormatManager.java,
AJHotDraw,UndoManager.java,org.jhotdraw.utilUndoManager.java,
AJHotDraw,Undoable.java,org.jhotdraw.utilUndoable.java,
AJHotDraw,Geom.java,org.jhotdraw.utilGeom.java,
AJHotDraw,StandardVersionControlStrategy.java,org.jhotdraw.utilStandardVersionControlStrategy.java,
AJHotDraw,UndoableHandle.java,org.jhotdraw.utilUndoableHandle.java,
AJHotDraw,PaletteLayout.java,org.jhotdraw.utilPaletteLayout.java,
AJHotDraw,UndoableTool.java,org.jhotdraw.utilUndoableTool.java,
AJHotDraw,VersionManagement.java,org.jhotdraw.utilVersionManagement.java,
AJHotDraw,Clipboard.java,org.jhotdraw.utilClipboard.java,
AJHotDraw,FloatingTextField.java,org.jhotdraw.utilFloatingTextField.java,
AJHotDraw,PaletteButton.java,org.jhotdraw.utilPaletteButton.java,
AJHotDraw,Storable.java,org.jhotdraw.utilStorable.java,
AJHotDraw,PaletteListener.java,org.jhotdraw.utilPaletteListener.java,
AJHotDraw,PaletteIcon.java,org.jhotdraw.utilPaletteIcon.java,
AJHotDraw,StandardStorageFormat.java,org.jhotdraw.utilStandardStorageFormat.java,
AJHotDraw,SerializationStorageFormat.java,org.jhotdraw.utilSerializationStorageFormat.java,
AJHotDraw,GraphLayout.java,org.jhotdraw.utilGraphLayout.java,
AJHotDraw,GraphLayout.java,org.jhotdraw.utilGraphLayout.java,
AJHotDraw,ReverseListEnumerator.java,org.jhotdraw.utilReverseListEnumerator.java,
